local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Eponino Macuco, Capão Raso",360000.0,53.0,2.0,1.0,1.0,26
"Rua Doutor Waldemiro Pereira, Capão Raso",343000.0,53.0,2.0,1.0,2.0,26
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",1050000.0,108.0,3.0,2.0,3.0,6
"Rua José Bajerski, Abranches",650000.0,128.0,3.0,3.0,3.0,0
"Novo Mundo, Curitiba",383462.0,62.0,2.0,1.0,2.0,51
"Guaíra, Curitiba",735000.0,122.0,3.0,4.0,2.0,40
"Rua Edmundo Alberto Mercer, Tingui",337900.0,10.0,2.0,1.0,1.0,74
"Rua João Dranka, Cristo Rei",602680.0,59.0,2.0,1.0,1.0,34
"Rua João Viana Seiler, Parolin",340000.0,64.0,2.0,1.0,2.0,53
"Rua Mário Gomes Cézar, Pinheirinho",233000.0,58.0,2.0,1.0,1.0,55
"Rua Clóvis Beviláqua Sobrinho, Uberaba",745000.0,149.0,3.0,2.0,4.0,75
"Rua Alferes Ângelo Sampaio, Bigorrilho",1401863.0,213.0,3.0,3.0,3.0,14
"Rua Capitão Souza Franco, Champagnat",470500.0,95.0,1.0,1.0,1.0,32
"Avenida João Gualberto, Alto da Glória",2604000.0,256.0,3.0,4.0,6.0,4
"Rua José Ferreira Pinheiro, Vila Izabel",690000.0,88.0,3.0,2.0,2.0,77
"Rua Doutor Manoel Pedro, Cabral",1249909.0,151.0,4.0,2.0,5.0,19
"Rua Agostinho Brusamolin, Neoville",385000.0,47.0,2.0,1.0,1.0,80
"Água Verde, Curitiba",710000.0,77.0,2.0,2.0,2.0,1
"Rua Maria Noemia dos Santos, Santa Cândida",282000.0,50.0,2.0,1.0,1.0,60
"Rua Joaquim Natividade da Silva, Capão da Imbuia",1698190.0,400.0,3.0,10.0,2.0,25
"Rua Domingos Gabardo, Capão Raso",420000.0,68.0,2.0,1.0,1.0,26
"Rua Nicolau Salomão, Tingui",350909.0,84.0,2.0,1.0,2.0,74
"Rua Francisco Balchak, Boa Vista",611407.0,78.0,3.0,2.0,2.0,15
"Rua Monsenhor Ivo Zanlorenzi, Mossunguê",1200000.0,128.0,3.0,2.0,3.0,50
"Rua Marquês do Paraná, Água Verde",890328.0,107.0,3.0,2.0,1.0,1
"Rua Miguel Laudecir de Oliveira, Ganchinho",849180.0,204.0,3.0,4.0,4.0,38
"Alto da Glória, Curitiba",1189000.0,133.0,2.0,2.0,2.0,4
"Rua Luiz Ronaldo Canalli, Campo Comprido",189590.0,48.0,2.0,1.0,1.0,23
"Rua Visconde do Rio Branco, Mercês",631700.0,80.0,2.0,2.0,3.0,49
"Rua Alferes Ângelo Sampaio, Mercês",1005600.0,150.0,3.0,3.0,4.0,49
"Rua México, Jardim Social",1200000.0,203.0,3.0,2.0,4.0,44
"Rua Sete de Abril, Juvevê",730000.0,98.0,3.0,2.0,2.0,46
"Rua José Zaleski, Capão Raso",440098.0,68.0,2.0,1.0,2.0,26
"Rua Antônio Parolin Júnior, Parolin",423000.0,83.0,3.0,2.0,3.0,53
"Rua Jovino do Rosário, Boa Vista",411278.0,51.0,2.0,1.0,1.0,15
"Pinheirinho, Curitiba",240000.0,50.0,2.0,1.0,1.0,55
"Tingui, Curitiba",353000.0,57.0,2.0,1.0,2.0,74
"Rua Maria Noemia dos Santos, Santa Cândida",282000.0,50.0,2.0,1.0,1.0,60
"Rua São Vicente Pallotti, Cajuru",412097.0,68.0,3.0,2.0,2.0,21
"Rua Oscar Wilde, Lindóia",549900.0,67.0,3.0,2.0,2.0,48
"Rua Nunes Machado, Rebouças",330000.0,30.0,1.0,1.0,1.0,58
"Rua Clóvis Beviláqua Sobrinho, Uberaba",745000.0,149.0,3.0,2.0,4.0,75
"Rua Alberico Flores Bueno, Bairro Alto",598000.0,115.0,3.0,2.0,4.0,10
"Boa Vista, Curitiba",726315.0,86.0,3.0,1.0,2.0,15
"Rua Brasílio Bacellar Filho, Tingui",374000.0,50.0,2.0,1.0,1.0,74
"Rua Ângelo Tozim, Campo de Santana",170000.0,45.0,2.0,1.0,1.0,24
"Rua Júlia Wanderley, Mercês",712348.0,118.0,3.0,2.0,4.0,49
"Rua Barão de Guaraúna, Alto da Glória",480900.0,101.0,2.0,2.0,3.0,4
"Travessa Percy Withers, Água Verde",2250000.0,270.0,4.0,4.0,6.0,1
"Rua João Lemos dos Santos, Pinheirinho",610000.0,180.0,2.0,3.0,2.0,55
"Rua Luiz Ronaldo Canalli, Campo Comprido",393821.0,56.0,2.0,1.0,2.0,23
"Rua Nicolau Salomão, Tingui",508873.0,88.0,2.0,2.0,2.0,74
"Rua Tobias de Macedo Júnior, Santo Inácio",525000.0,71.0,3.0,2.0,2.0,63
"Barreirinha, Curitiba",585000.0,117.0,3.0,3.0,2.0,12
"Rua Clara Vendramin, Mossunguê",1002510.0,174.0,3.0,2.0,3.0,50
"Rua Jovino do Rosário, Boa Vista",465000.0,67.0,2.0,1.0,2.0,15
"Rua Ângelo Nabosne, Ecoville",1262490.0,129.0,3.0,2.0,4.0,35
"Rua Visconde do Rio Branco, Mercês",820000.0,85.0,2.0,2.0,3.0,49
"Rua Coronel Amazonas Marcondes, Cabral",1032000.0,109.0,3.0,1.0,2.0,19
"Rua Santinor Pinto da Rocha, Alto Boqueirão",369000.0,60.0,3.0,1.0,2.0,3
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",805000.0,78.0,2.0,1.0,2.0,35
"Rua Simão Brante, Uberaba",424000.0,123.0,3.0,1.0,3.0,75
"Rodovia BR-116, Pinheirinho",209000.0,46.0,2.0,1.0,1.0,55
"Rua José Gildo Beleski, Bacacheri",421005.0,48.0,2.0,1.0,1.0,9
"Rua João Batista Trentin, Tingui",469900.0,59.0,2.0,1.0,2.0,74
"Rua Constantino Marochi, Juvevê",1050000.0,142.0,3.0,3.0,5.0,46
"Rua José Cadilhe, Água Verde",433900.0,65.0,2.0,2.0,2.0,1
"Rua Theóphilo Augusto Loyola Guimarães, Atuba",620000.0,150.0,3.0,2.0,3.0,7
"Rua Coronel Joaquim Sarmento, Bom Retiro",356994.0,34.0,1.0,1.0,1.0,16
"Rua Coronel Amazonas Marcondes, Cabral",840000.0,81.0,2.0,1.0,2.0,19
"Rua Fortaleza, Cajuru",650000.0,127.0,3.0,2.0,3.0,21
"Rua Quitandinha, Sitio Cercado",630000.0,167.0,3.0,2.0,1.0,70
"Rua Pedro Américo, Novo Mundo",798000.0,130.0,3.0,2.0,3.0,51
"Rua José Zaleski, Neoville",371000.0,98.0,2.0,2.0,1.0,80
"Rua Mário Bueno Sobrinho, Uberaba",589000.0,109.0,3.0,2.0,3.0,75
"Rua Paraíba, Guaíra",635000.0,114.0,3.0,2.0,4.0,40
"Rua Eponino Macuco, Capão Raso",366500.0,53.0,2.0,1.0,1.0,26
"Rua São Vicente Pallotti, Cajuru",416000.0,68.0,3.0,1.0,2.0,21
"Rua Quintino Bocaiúva, Cabral",1729406.0,176.0,3.0,2.0,5.0,19
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",227000.0,45.0,2.0,1.0,1.0,33
"Rua João Schleder Sobrinho, Boa Vista",749900.0,88.0,2.0,2.0,3.0,15
"Rua Engenheiro Ostoja Roguski, Jardim Botânico",585000.0,76.0,2.0,1.0,2.0,43
"Avenida Presidente Affonso Camargo, Cristo Rei",563400.0,72.0,2.0,1.0,2.0,34
"Rua Professor Luiz César, Água Verde",423900.0,56.0,2.0,1.0,2.0,1
"Rua Amazonas, Água Verde",590000.0,80.0,3.0,1.0,2.0,1
"Rua David Bodziak, Cachoeira",133000.0,45.0,2.0,1.0,1.0,20
"Rua Brasílio Itiberê, Rebouças",319900.0,87.0,3.0,1.0,2.0,58
"Ganchinho, Curitiba",379000.0,83.0,2.0,1.0,2.0,38
"Rua Tenente-Coronel Servando de Loyola e Silva, Barreirinha",629500.0,113.0,3.0,3.0,2.0,12
"Travessa Rafael Francisco Greca, Água Verde",504080.0,71.0,1.0,1.0,1.0,1
"Rua Leon Nicolas, Capão Raso",419000.0,71.0,3.0,1.0,2.0,26
"Rua Diamante do Norte, Fazendinha",890000.0,220.0,3.0,8.0,4.0,37
"Rua José Merhy, Boa Vista",465867.0,65.0,2.0,1.0,2.0,15
"Pinheirinho, Curitiba",400000.0,102.0,2.0,1.0,1.0,55
"Rua Capitão João Zaleski, Lindóia",290000.0,57.0,2.0,1.0,1.0,48
"Rua Vereador Aurelino Mader Gonçalves, Xaxim",285000.0,49.0,2.0,1.0,1.0,79
"Rua Antônio Parolin Júnior, Parolin",423000.0,83.0,3.0,1.0,3.0,53
"Rua Coronel Joaquim Sarmento, Bom Retiro",280000.0,33.0,1.0,1.0,1.0,16
"Rua Serafim França, Novo Mundo",540000.0,66.0,2.0,1.0,2.0,51
"Rua Maria Clara, Alto da Glória",1121800.0,99.0,3.0,2.0,3.0,4
"Rua Tobias de Macedo Júnior, Barigui",449100.0,56.0,2.0,2.0,2.0,11
"Rua Paraíba, Guaíra",735000.0,120.0,3.0,4.0,1.0,40
"Rua Professor Luiz César, Água Verde",237900.0,46.0,1.0,1.0,1.0,1
"Rua Presidente Beaurepaire Rohan, Cristo Rei",800000.0,118.0,3.0,3.0,3.0,34
"Rua Moyses Marcondes, Juvevê",1060000.0,117.0,3.0,3.0,4.0,46
"Rua Cascavel, Boqueirão",619000.0,135.0,3.0,2.0,4.0,17
"Rua Felisbino Passos, Tingui",450000.0,55.0,2.0,1.0,1.0,74
"Rua Santa Catarina, Água Verde",420000.0,58.0,2.0,1.0,1.0,1
"Rua Alferes Ângelo Sampaio, Mercês",1142100.0,91.0,2.0,2.0,3.0,49
"Rua Jorge de Poli, Xaxim",753000.0,137.0,3.0,2.0,3.0,79
"Rua Doutor Raul Carneiro Filho, Água Verde",608331.0,64.0,2.0,2.0,2.0,1
"Alto da Rua XV, Curitiba",1290000.0,141.0,3.0,2.0,2.0,6
"Avenida Água Verde, Vila Izabel",525000.0,97.0,2.0,1.0,3.0,1
"Rua Bom Jesus, Juvevê",1814000.0,113.0,3.0,1.0,4.0,46
"Rua Ângelo Nabosne, Cidade Industrial",1320882.0,126.0,3.0,2.0,4.0,33
"Cabral, Curitiba",965172.0,96.0,3.0,1.0,1.0,19
"Capão Raso, Curitiba",390000.0,62.0,2.0,1.0,1.0,26
"Rua Reinaldo Stocco, Pinheirinho",355000.0,61.0,3.0,1.0,1.0,55
"Rua Humberto Morona, Cristo Rei",999000.0,72.0,3.0,2.0,3.0,34
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",1050000.0,108.0,3.0,2.0,2.0,6
"Rua Professor Assis Gonçalves, Água Verde",683500.0,91.0,3.0,2.0,3.0,1
"Rua José Rodrigues Pinheiro, Capão Raso",350000.0,65.0,3.0,1.0,2.0,26
"Rua Professor Pedro Viriato Parigot de Souza, Mossunguê",1181640.0,132.0,4.0,2.0,3.0,50
"Travessa Elizabete Charlote Brand, Sitio Cercado",457000.0,150.0,2.0,3.0,2.0,70
"Rua Amazonas, Água Verde",439900.0,55.0,2.0,1.0,2.0,1
"Rua Visconde do Rio Branco, Mercês",848700.0,85.0,2.0,2.0,3.0,49
"Avenida Água Verde, Vila Izabel",525000.0,97.0,2.0,1.0,3.0,1
"Novo Mundo, Curitiba",389400.0,66.0,2.0,2.0,1.0,51
"Rua Salomão Guelmann, Novo Mundo",389400.0,66.0,2.0,1.0,2.0,51
"Alameda Cabral, São Francisco",805000.0,91.0,3.0,2.0,2.0,19
"Rua João Alexandre Kopp, Cidade Industrial",687000.0,280.0,5.0,2.0,4.0,33
"Alameda Princesa Izabel, Bigorrilho",1208635.0,135.0,3.0,3.0,5.0,14
"Rua Professor Guido Straube, Vila Izabel",959000.0,88.0,3.0,2.0,3.0,77
"Rua Visconde do Rio Branco, Mercês",899000.0,85.0,2.0,2.0,3.0,49
"Rua Ivo Ferro, Uberaba",1348300.0,198.0,3.0,2.0,4.0,75
"Rua Louis Esquier, Uberaba",680000.0,220.0,4.0,3.0,3.0,75
"Avenida Desembargador Hugo Simas, Bom Retiro",540000.0,71.0,2.0,1.0,2.0,16
"Rua Paraíba, Guaíra",399000.0,71.0,3.0,1.0,2.0,40
"Estrada Guilherme Weigert, Santa Cândida",284400.0,60.0,3.0,1.0,1.0,60
"Rua Deputado Heitor Alencar Furtado, Campo Comprido",4755000.0,320.0,3.0,4.0,4.0,23
"Rua Doutor Alarico Vieira de Alencar, Bacacheri",850000.0,123.0,4.0,2.0,2.0,9
"Rua Maria Clara, Alto da Glória",1004900.0,99.0,3.0,2.0,3.0,4
"Avenida Presidente Affonso Camargo, Jardim Botânico",716100.0,81.0,3.0,1.0,2.0,43
"Rua Coronel Amazonas Marcondes, Cabral",984073.0,107.0,3.0,1.0,3.0,19
"Rua João Viana Seiler, Parolin",336730.0,64.0,2.0,1.0,2.0,53
"Rua Mariano Torres, Centro",1106600.0,107.0,3.0,1.0,3.0,28
"Rua Brasílio Itiberê, Jardim Botânico",440000.0,68.0,2.0,1.0,2.0,43
"Rua Murilo do Amaral Ferreira, Água Verde",2970525.0,259.0,4.0,4.0,3.0,1
"Rua Manoel Eufrásio, Juvevê",1570000.0,192.0,3.0,3.0,5.0,46
"Rua Capitão Tenente Maris de Barros, Portão",234000.0,59.0,3.0,1.0,1.0,56
"Rua Gago Coutinho, Bacacheri",565000.0,70.0,2.0,2.0,2.0,9
"Rua Baltazar Carrasco dos Reis, Rebouças",428000.0,55.0,2.0,1.0,1.0,58
"Juvevê, Curitiba",731225.0,79.0,2.0,1.0,2.0,46
"Rua Barão de Antonina, São Francisco",1050000.0,96.0,2.0,2.0,2.0,65
"Avenida Presidente Getúlio Vargas, Vila Izabel",538600.0,62.0,2.0,1.0,1.0,77
"Centro, Curitiba",862100.0,73.0,2.0,1.0,2.0,28
"Rua Coronel Amazonas Marcondes, Cabral",1060000.0,122.0,3.0,2.0,4.0,19
"Rua Rodolpho Senff, Jardim das Américas",850000.0,162.0,3.0,3.0,3.0,45
"Abranches, Curitiba",3290000.0,653.0,4.0,6.0,5.0,0
"Avenida Nossa Senhora da Luz, Cabral",4737000.0,300.0,3.0,3.0,5.0,19
"Rua João Schleder Sobrinho, Boa Vista",749000.0,84.0,2.0,1.0,3.0,15
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",235490.0,44.0,2.0,1.0,1.0,33
"Santa Cândida, Curitiba",250000.0,47.0,2.0,1.0,1.0,60
"Rua Engenheiros Rebouças, Rebouças",920000.0,119.0,3.0,3.0,2.0,58
"Rua João Batista Trentin, Tingui",549900.0,69.0,3.0,1.0,1.0,74
"Rua Bom Jesus, Juvevê",732000.0,121.0,3.0,1.0,1.0,46
"Avenida Munhoz da Rocha, Juvevê",4118891.0,349.0,4.0,4.0,6.0,46
"Rua Manoel Eufrásio, Juvevê",1170000.0,157.0,3.0,3.0,4.0,46
"Água Verde, Curitiba",420000.0,97.0,3.0,1.0,3.0,1
"Rua Rio Amazonas, Bairro Alto",580000.0,132.0,3.0,2.0,3.0,10
"Rua Hermenegildo Luca, Santa Felicidade",3600000.0,369.0,4.0,4.0,5.0,61
